//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
0.001733,0.003654,-0.005569,-0.017877,0.041278,1.005664,39487.203395
-0.003593,-0.001672,-0.000243,-0.001947,0.044848,0.992389,39487.208409
0.003864,0.000459,-0.001308,-0.015222,-0.000562,0.990649,39487.213397
0.000668,0.000459,0.001888,-0.041498,-0.045331,0.986529,39487.218409
0.004929,0.001524,0.000822,-0.052851,-0.026471,0.997790,39487.223394
0.002799,-0.000607,-0.000243,-0.029047,0.024981,0.993396,39487.228408
0.001733,0.003654,-0.005569,0.002997,0.050067,1.004199,39487.233391
-0.000397,0.000459,0.002953,-0.009271,0.015002,1.000720,39487.238406
-0.003593,-0.002737,0.001888,-0.038294,-0.036267,0.982776,39487.243389
0.003864,-0.002737,0.005083,-0.049280,-0.035901,0.983874,39487.248403
0.003864,0.002589,-0.006634,-0.027124,0.015826,1.011065,39487.253396
-0.002528,0.003654,-0.002373,0.001623,0.050708,1.018115,39487.258409
-0.000397,-0.001672,-0.003439,-0.006250,0.031115,1.001178,39487.263396
0.005994,-0.002737,0.006149,-0.041223,-0.026929,0.973895,39487.268407
-0.002528,0.000459,0.006149,-0.046716,-0.044049,0.978381,39487.273393
0.003864,-0.001672,0.000822,-0.030603,-0.004590,1.008960,39487.278412
-0.000397,0.000459,-0.001308,-0.009088,0.041186,1.016101,39487.283391
-0.004658,-0.000607,-0.001308,-0.007532,0.043658,0.995776,39487.288408
0.001733,-0.000607,-0.002373,-0.024927,-0.007428,0.973437,39487.293397
0.000668,-0.000607,0.004018,-0.038660,-0.046064,0.983600,39487.298411
0.004929,0.000459,0.000822,-0.025568,0.033953,1.006122,39487.303392
-0.003593,-0.000607,-0.000243,-0.001489,0.051623,0.993945,39487.308404
0.000668,0.004720,-0.005569,-0.010278,0.009600,0.990191,39487.313394
0.000668,0.001524,-0.003439,-0.039301,-0.044599,0.993579,39487.318411
0.003864,-0.000607,-0.001308,-0.053949,-0.029218,0.987811,39487.323394
0.000668,-0.003803,0.005083,-0.031519,0.020129,1.002826,39487.328410
-0.001462,0.003654,0.001888,0.000067,0.054461,1.005939,39487.333412
-0.000397,0.001524,-0.002373,-0.007715,0.024340,0.997882,39487.338384
0.000668,-0.001672,-0.000243,-0.035089,-0.030591,0.975909,39487.343422
0.000668,0.000459,-0.002373,-0.049921,-0.044141,0.972888,39487.348382
-0.000397,0.002589,0.002953,-0.030054,0.003924,0.999530,39487.353420
-0.000397,-0.000607,0.001888,-0.005701,0.041095,1.015552,39487.358385
-0.002528,0.003654,0.000822,-0.009729,0.038531,1.006396,39487.363419
-0.003593,-0.001672,-0.003439,-0.029138,-0.012006,0.979663,39487.368381
0.000668,0.000459,-0.001308,-0.038385,-0.046613,0.986529,39487.373418
-0.001462,-0.001672,0.002953,-0.037561,-0.009992,1.019397,39487.378383
0.000668,0.000459,0.006149,-0.016229,0.043658,1.015826,39487.383420
0.003864,-0.004868,-0.000243,-0.002497,0.049426,0.993396,39487.388382
0.003864,0.003654,-0.002373,-0.013117,0.002459,0.979388,39487.393427
-0.002528,0.001524,-0.001308,-0.037927,-0.043866,0.986438,39487.398381
0.000668,-0.003803,0.000822,-0.047632,-0.031598,1.001452,39487.403421
0.000668,0.000459,0.002953,-0.029047,0.025897,0.999988,39487.408383
0.001733,-0.001672,0.007214,-0.004144,0.049975,0.993945,39487.413423
-0.001462,0.004720,-0.001308,-0.009363,0.023516,0.999347,39487.418386
-0.003593,0.004720,-0.005569,-0.040674,-0.033704,0.988818,39487.423422
0.005994,-0.001672,-0.005569,-0.046167,-0.033521,0.985705,39487.428384
0.000668,-0.002737,0.006149,-0.030878,0.013812,1.004474,39487.433420
-0.002528,-0.003803,0.005083,0.001623,0.048419,1.013354,39487.438381
-0.001462,0.001524,0.004018,-0.001673,0.034503,1.005023,39487.443417
0.001733,0.001524,-0.004504,-0.035364,-0.023908,0.979754,39487.448386
0.001733,0.000459,-0.001308,-0.051477,-0.045240,0.973895,39487.453415
-0.001462,0.000459,-0.002373,-0.037378,-0.008527,1.001727,39487.458383
0.001733,0.001524,0.002953,-0.016962,0.039538,1.010974,39487.463399
-0.002528,-0.000607,0.004018,-0.005976,0.041003,0.997241,39487.468405
-0.003593,0.003654,-0.000243,-0.023554,-0.006330,0.978015,39487.473398
0.000668,0.002589,-0.000243,-0.038202,-0.044599,0.986621,39487.478411
-0.001462,0.003654,-0.007700,-0.039850,-0.018598,1.013354,39487.483396
